Date,Description,Category,Amount,Account
2023-01-05,Safeway #1247,Groceries,-142.38,Amex Gold
2023-01-08,Shell Gas Station,Transportation,-68.50,Chase Sapphire Reserve
2023-01-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-01-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-01-12,Comcast Internet/TV,Utilities,-189.99,BofA Checking
2023-01-15,State Farm Auto Insurance,Insurance,-285.00,BofA Checking
2023-01-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-01-18,Costco Wholesale #482,Groceries,-387.62,Amex Gold
2023-01-20,Din Tai Fung Bellevue,Dining,-128.45,Amex Gold
2023-01-22,Amazon.com,Shopping,-234.99,Chase Sapphire Reserve
2023-01-25,Puget Sound Energy,Utilities,-142.30,BofA Checking
2023-01-28,Netflix Subscription,Subscriptions,-22.99,Chase Sapphire Reserve
2023-01-30,PetSmart #1089,Pets,-67.45,Chase Sapphire Reserve
2023-03-15,Kumon Math - Emma,Education,-160.00,BofA Checking
2023-03-22,REI Co-op,Shopping,-189.50,Chase Sapphire Reserve
2023-04-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-04-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-04-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-04-18,Overlake Medical Center,Healthcare,-45.00,Chase Sapphire Reserve
2023-04-22,Home Depot #4512,Home Maintenance,-312.78,Chase Sapphire Reserve
2023-06-20,Alaska Airlines - SEA to HNL,Travel,-2840.00,Chase Sapphire Reserve
2023-06-22,Hyatt Regency Maui,Travel,-1890.00,Chase Sapphire Reserve
2023-06-25,Mama's Fish House Maui,Dining,-285.00,Amex Gold
2023-07-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-07-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-07-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-07-18,Trader Joe's #187,Groceries,-98.42,Amex Gold
2023-07-22,Spotify Family Plan,Subscriptions,-16.99,Chase Sapphire Reserve
2023-08-28,Bellevue School District,Education,-450.00,BofA Checking
2023-09-05,Charitable Giving - United Way,Charitable Giving,-500.00,BofA Checking
2023-10-10,Employer Direct Deposit - James,Income,10200.00,BofA Checking
2023-10-10,Employer Direct Deposit - Sarah,Income,8300.00,BofA Checking
2023-10-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2023-10-20,Premera Blue Cross,Healthcare,-380.00,BofA Checking
2023-11-24,Best Buy #562,Shopping,-899.99,Chase Sapphire Reserve
2023-12-05,Nordstrom,Shopping,-542.30,Chase Sapphire Reserve
2023-12-10,Amazon.com Holiday,Shopping,-1245.67,Chase Sapphire Reserve
2023-12-15,Charitable Giving - Children's Hospital,Charitable Giving,-1000.00,BofA Checking
2023-12-20,Delta Airlines - SEA to SFO,Travel,-680.00,Chase Sapphire Reserve
2023-12-22,Safeway #1247,Groceries,-198.45,Amex Gold
2024-01-10,Employer Direct Deposit - James,Income,10800.00,BofA Checking
2024-01-10,Employer Direct Deposit - Sarah,Income,8700.00,BofA Checking
2024-01-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2024-01-18,Costco Wholesale #482,Groceries,-412.30,Amex Gold
2024-01-20,Comcast Internet/TV,Utilities,-199.99,BofA Checking
2024-01-22,State Farm Auto Insurance,Insurance,-295.00,BofA Checking
2024-01-25,Puget Sound Energy,Utilities,-156.80,BofA Checking
2024-02-14,The Herbfarm Restaurant,Dining,-450.00,Amex Gold
2024-03-10,Employer Direct Deposit - James,Income,10800.00,BofA Checking
2024-03-10,Employer Direct Deposit - Sarah,Income,8700.00,BofA Checking
2024-03-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2024-03-20,Roto-Rooter Plumbing,Home Maintenance,-875.00,Chase Sapphire Reserve
2024-04-15,H&R Block Tax Prep,Shopping,-380.00,Chase Sapphire Reserve
2024-04-18,Safeway #1247,Groceries,-155.20,Amex Gold
2024-05-12,Banfield Pet Hospital,Pets,-245.00,Chase Sapphire Reserve
2024-06-15,United Airlines - SEA to NRT,Travel,-4200.00,Chase Sapphire Reserve
2024-06-18,Park Hyatt Tokyo,Travel,-3150.00,Chase Sapphire Reserve
2024-06-22,Sushi Saito Tokyo,Dining,-380.00,Amex Gold
2024-07-10,Employer Direct Deposit - James,Income,10800.00,BofA Checking
2024-07-10,Employer Direct Deposit - Sarah,Income,8700.00,BofA Checking
2024-07-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2024-07-20,Costco Wholesale #482,Groceries,-445.18,Amex Gold
2024-07-25,Netflix Subscription,Subscriptions,-22.99,Chase Sapphire Reserve
2024-08-05,Kumon Math - Emma,Education,-160.00,BofA Checking
2024-08-15,Bellevue School District,Education,-475.00,BofA Checking
2024-09-10,Employer Direct Deposit - James,Income,10800.00,BofA Checking
2024-09-10,Employer Direct Deposit - Sarah,Income,8700.00,BofA Checking
2024-09-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2024-09-20,Premera Blue Cross,Healthcare,-395.00,BofA Checking
2024-09-25,Charitable Giving - United Way,Charitable Giving,-500.00,BofA Checking
2024-10-15,Shell Gas Station,Transportation,-72.40,Chase Sapphire Reserve
2024-10-20,Trader Joe's #187,Groceries,-112.85,Amex Gold
2024-11-29,Apple Store Bellevue,Shopping,-1299.00,Chase Sapphire Reserve
2024-12-08,Amazon.com Holiday,Shopping,-1567.42,Chase Sapphire Reserve
2024-12-12,Nordstrom,Shopping,-678.90,Chase Sapphire Reserve
2024-12-15,Charitable Giving - Children's Hospital,Charitable Giving,-1500.00,BofA Checking
2024-12-18,Alaska Airlines - SEA to LAX,Travel,-520.00,Chase Sapphire Reserve
2024-12-22,Costco Wholesale #482,Groceries,-398.75,Amex Gold
2025-01-10,Employer Direct Deposit - James,Income,11200.00,BofA Checking
2025-01-10,Employer Direct Deposit - Sarah,Income,9100.00,BofA Checking
2025-01-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2025-01-18,Comcast Internet/TV,Utilities,-209.99,BofA Checking
2025-01-20,State Farm Auto Insurance,Insurance,-310.00,BofA Checking
2025-01-22,Puget Sound Energy,Utilities,-168.50,BofA Checking
2025-01-25,Safeway #1247,Groceries,-165.30,Amex Gold
2025-01-28,Spotify Family Plan,Subscriptions,-17.99,Chase Sapphire Reserve
2025-02-10,Employer Direct Deposit - James,Income,11200.00,BofA Checking
2025-02-10,Employer Direct Deposit - Sarah,Income,9100.00,BofA Checking
2025-02-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2025-02-18,Overlake Medical Center,Healthcare,-125.00,Chase Sapphire Reserve
2025-02-20,Home Depot #4512,Home Maintenance,-245.60,Chase Sapphire Reserve
2025-02-22,Din Tai Fung Bellevue,Dining,-142.80,Amex Gold
2025-02-25,Costco Wholesale #482,Groceries,-425.90,Amex Gold
2025-02-28,PetSmart #1089,Pets,-82.30,Chase Sapphire Reserve
2026-01-10,Employer Direct Deposit - James,Income,11200.00,BofA Checking
2026-01-10,Employer Direct Deposit - Sarah,Income,9100.00,BofA Checking
2026-01-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2026-01-20,Costco Wholesale #482,Groceries,-438.50,Amex Gold
2026-01-22,Comcast Internet/TV,Utilities,-209.99,BofA Checking
2026-01-25,Shell Gas Station,Transportation,-75.80,Chase Sapphire Reserve
2026-02-10,Employer Direct Deposit - James,Income,11200.00,BofA Checking
2026-02-10,Employer Direct Deposit - Sarah,Income,9100.00,BofA Checking
2026-02-15,Mortgage Payment - Chase,Housing,-3450.00,BofA Checking
2026-02-18,Safeway #1247,Groceries,-172.45,Amex Gold
2026-02-20,Netflix Subscription,Subscriptions,-24.99,Chase Sapphire Reserve
2026-02-22,Premera Blue Cross,Healthcare,-410.00,BofA Checking
2026-02-25,Trader Joe's #187,Groceries,-118.60,Amex Gold
